attempt=2
returncode=0
elapsed_sec=20.80

STDOUT:
Epoch: 049, Loss: 0.1313, Val F1: 0.4000, Val Acc: 0.6429, Val Prec: 0.6250, Val Rec: 0.2941
Epoch: 050, Loss: 0.1259, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 051, Loss: 0.1953, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 052, Loss: 0.1093, Val F1: 0.6452, Val Acc: 0.7381, Val Prec: 0.7143, Val Rec: 0.5882
Epoch: 053, Loss: 0.1646, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 054, Loss: 0.1441, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 055, Loss: 0.1735, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 056, Loss: 0.1236, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
Epoch: 057, Loss: 0.1057, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 058, Loss: 0.1269, Val F1: 0.7273, Val Acc: 0.7857, Val Prec: 0.7500, Val Rec: 0.7059
Epoch: 059, Loss: 0.1196, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 060, Loss: 0.1045, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 061, Loss: 0.0855, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 062, Loss: 0.1122, Val F1: 0.6667, Val Acc: 0.7619, Val Prec: 0.7692, Val Rec: 0.5882
Epoch: 063, Loss: 0.1129, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 064, Loss: 0.1155, Val F1: 0.6207, Val Acc: 0.7381, Val Prec: 0.7500, Val Rec: 0.5294
Epoch: 065, Loss: 0.1001, Val F1: 0.5714, Val Acc: 0.7143, Val Prec: 0.7273, Val Rec: 0.4706
Epoch: 066, Loss: 0.1028, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 067, Loss: 0.0995, Val F1: 0.7097, Val Acc: 0.7857, Val Prec: 0.7857, Val Rec: 0.6471
Epoch: 068, Loss: 0.0970, Val F1: 0.6875, Val Acc: 0.7619, Val Prec: 0.7333, Val Rec: 0.6471
Epoch: 069, Loss: 0.0913, Val F1: 0.5517, Val Acc: 0.6905, Val Prec: 0.6667, Val Rec: 0.4706
Epoch: 070, Loss: 0.1104, Val F1: 0.6000, Val Acc: 0.7143, Val Prec: 0.6923, Val Rec: 0.5294
